         35876769 function calls (35708270 primitive calls) in 25.571 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1399    0.001    0.000    0.002    0.000 common.py:806(is_unsigned_integer_dtype)
      643    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
     2220    0.001    0.000    0.001    0.000 colors.py:249(<genexpr>)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      883    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      171    0.001    0.000    0.055    0.000 base.py:5229(insert)
      146    0.001    0.000    0.013    0.000 patches.py:728(_update_patch_transform)
      643    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      459    0.001    0.000    0.002    0.000 base.py:550(_engine)
      789    0.001    0.000    0.005    0.000 base.py:5664(_maybe_cast_with_dtype)
      562    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      170    0.001    0.000    0.064    0.000 missing.py:235(_isna_string_dtype)
     1378    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
     9361    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      345    0.001    0.000    0.001    0.000 {method 'tell' of '_io.BufferedReader' objects}
       58    0.001    0.000    0.004    0.000 lines.py:667(recache)
      739    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
     1257    0.001    0.000    0.005    0.000 {method 'any' of 'numpy.ndarray' objects}
     1957    0.001    0.000    0.003    0.000 re.py:169(match)
       63    0.001    0.000    0.021    0.000 algorithms.py:503(factorize)
       12    0.001    0.000    0.017    0.001 artist.py:1213(get_aliases)
      428    0.001    0.000    0.095    0.000 frame.py:440(__init__)
      286    0.001    0.000    0.003    0.000 overrides.py:72(verify_matching_signatures)
      441    0.001    0.000    0.003    0.000 copy.py:66(copy)
     1614    0.001    0.000    0.021    0.000 artist.py:1319(is_alias)
       24    0.001    0.000    0.004    0.000 traceback.py:319(extract)
      202    0.001    0.000    0.036    0.000 sre_compile.py:557(compile)
      334    0.001    0.000    0.003    0.000 zipfile.py:722(read)
     6212    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      373    0.001    0.000    0.002    0.000 font_manager.py:1058(score_family)
       14    0.001    0.000    0.001    0.000 {method 'flush' of 'zlib.Compress' objects}
     1063    0.001    0.000    0.006    0.000 <__array_function__ internals>:2(dot)
      196    0.001    0.000    0.064    0.000 generic.py:3563(_set_item)
       10    0.001    0.000    0.001    0.000 sorting.py:140(decons_group_index)
       52    0.001    0.000    0.002    0.000 {pandas._libs.lib.clean_index_list}
      114    0.001    0.000    0.002    0.000 formatting.py:697(handle_xf)
      196    0.001    0.000    0.074    0.000 frame.py:3021(__setitem__)
       33    0.001    0.000    0.009    0.000 grouper.py:601(get_grouper)
       44    0.001    0.000    0.017    0.000 __init__.py:357(namedtuple)
      537    0.001    0.000    0.001    0.000 contextlib.py:59(__init__)
      202    0.001    0.000    0.003    0.000 sre_compile.py:482(_compile_info)
     2907    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      769    0.001    0.000    0.022    0.000 concat.py:476(<genexpr>)
      362    0.001    0.000    0.024    0.000 concat.py:461(_is_uniform_join_units)
       29    0.001    0.000    0.001    0.000 formatting.py:459(is_date_format_string)
      761    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       75    0.001    0.000    0.006    0.000 lines.py:751(draw)
    209/1    0.001    0.000    0.100    0.100 artist.py:30(draw_wrapper)
      128    0.001    0.000    0.003    0.000 range.py:88(__new__)
       25    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      791    0.001    0.000    0.002    0.000 transforms.py:1819(__init__)
       36    0.001    0.000    0.043    0.001 ops.py:436(_cython_operation)
  606/539    0.001    0.000    0.001    0.000 typing.py:336(_get_type_vars)
       10    0.001    0.000    0.003    0.000 zipfile.py:1190(_RealGetContents)
      728    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:147(__enter__)
       87    0.001    0.000    0.052    0.001 frame.py:4611(reset_index)
      175    0.001    0.000    0.004    0.000 transforms.py:1930(rotate_deg)
        1    0.001    0.001    0.192    0.192 jst_lib.py:112(merge_results_subunits)
       20    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       72    0.001    0.000    0.001    0.000 __init__.py:1702(normalize_kwargs)
     3953    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
   260/11    0.001    0.000    0.003    0.000 pyparsing.py:1641(_parseNoCache)
     1205    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:403(cached)
      102    0.001    0.000    0.009    0.000 blocks.py:514(astype)
     4886    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      504    0.001    0.000    0.001    0.000 numerictypes.py:654(<listcomp>)
      141    0.001    0.000    0.002    0.000 managers.py:311(_verify_integrity)
     2655    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
     2564    0.001    0.000    0.001    0.000 inspect.py:2781(<genexpr>)
      196    0.001    0.000    0.072    0.000 frame.py:3102(_set_item)
      202    0.001    0.000    0.020    0.000 sre_parse.py:844(parse)
      233    0.001    0.000    0.001    0.000 pyparsing.py:1394(__init__)
     1173    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
       33    0.001    0.000    0.027    0.001 axis.py:56(__init__)
      462    0.001    0.000    0.002    0.000 transforms.py:2299(__init__)
      133    0.001    0.000    0.052    0.000 managers.py:1208(reindex_indexer)
       26    0.001    0.000    0.023    0.001 parsers.py:2317(__init__)
      805    0.001    0.000    0.002    0.000 <__array_function__ internals>:2(can_cast)
       72    0.001    0.000    0.008    0.000 __init__.py:1523(_preprocess_data)
      406    0.001    0.000    0.001    0.000 concat.py:521(_combine_concat_plans)
     5647    0.001    0.000    0.001    0.000 artist.py:774(get_animated)
       83    0.001    0.000    0.022    0.000 generic.py:3676(__delitem__)
      316    0.001    0.000    0.020    0.000 overrides.py:166(decorator)
       97    0.001    0.000    0.010    0.000 font_manager.py:1179(findfont)
      224    0.001    0.000    0.050    0.000 zipfile.py:1006(write)
     2120    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
     2178    0.001    0.000    0.001    0.000 typing.py:1089(__eq__)
      119    0.001    0.000    0.003    0.000 font_manager.py:620(__init__)
      106    0.001    0.000    0.007    0.000 indexing.py:757(_getitem_lowerdim)
       26    0.001    0.000    0.352    0.014 parsers.py:2544(read)
       84    0.001    0.000    0.004    0.000 zipfile.py:1340(open)
     1309    0.001    0.000    0.007    0.000 {built-in method builtins.next}
      708    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
      353    0.001    0.000    0.004    0.000 missing.py:358(array_equivalent)
     1097    0.001    0.000    0.006    0.000 common.py:1541(_is_dtype)
      686    0.001    0.000    0.134    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
       12    0.001    0.000    0.001    0.000 artist.py:1224(<listcomp>)
       83    0.001    0.000    0.023    0.000 managers.py:1856(_consolidate)
        1    0.001    0.001    0.025    0.025 book.py:595(biff2_8_load)
     1052    0.001    0.000    0.001    0.000 function_base.py:257(iterable)
       82    0.001    0.000    0.002    0.000 patches.py:504(_bind_draw_path_function)
       11    0.001    0.000    7.734    0.703 __init__.py:33(open_workbook)
       94    0.001    0.000    0.001    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
     1463    0.001    0.000    0.005    0.000 _methods.py:44(_any)
       26    0.001    0.000    0.001    0.000 parsers.py:2652(_infer_columns)
     4348    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     6411    0.001    0.000    0.001    0.000 timemachine.py:32(<lambda>)
        8    0.001    0.000    0.001    0.000 {built-in method addAction}
        2    0.001    0.000    0.001    0.000 {built-in method raise_}
     4348    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
       20    0.001    0.000    0.016    0.001 xlsx.py:261(process_stream)
     2120    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
      105    0.001    0.000    0.001    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
      562    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
       26    0.001    0.000    0.031    0.001 construction.py:329(_homogenize)
      562    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
       33    0.001    0.000    0.072    0.002 generic.py:1020(_cython_agg_blocks)
      849    0.001    0.000    0.001    0.000 {built-in method numpy.seterrobj}
       71    0.001    0.000    0.001    0.000 ElementTree.py:1446(__init__)
        1    0.001    0.001    0.034    0.034 backend_qt5.py:1(<module>)
      252    0.001    0.000    0.001    0.000 numeric.py:1277(normalize_axis_tuple)
      506    0.001    0.000    0.001    0.000 common.py:1025(is_datetime_or_timedelta_dtype)
  149/148    0.001    0.000    0.001    0.000 transforms.py:413(bounds)
      171    0.001    0.000    0.026    0.000 base.py:3974(_coerce_scalar_to_index)
      126    0.001    0.000    0.002    0.000 numeric.py:1340(moveaxis)
       11    0.001    0.000    0.049    0.004 artist.py:1349(pprint_setters)
      616    0.001    0.000    0.002    0.000 _inspect.py:98(getargspec)
      667    0.001    0.000    0.002    0.000 transforms.py:126(invalidate)
        1    0.001    0.001    0.003    0.003 compdoc.py:84(__init__)
      602    0.001    0.000    0.006    0.000 base.py:1994(inferred_type)
     3044    0.001    0.000    0.001    0.000 base.py:3864(_values)
      562    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
     2109    0.001    0.000    0.001    0.000 sre_parse.py:171(append)
     1287    0.001    0.000    0.001    0.000 artist.py:338(pchanged)
      243    0.001    0.000    0.001    0.000 managers.py:655(_consolidate_check)
      492    0.001    0.000    0.004    0.000 rcsetup.py:374(validate_color)
      301    0.001    0.000    0.003    0.000 transforms.py:1962(translate)
      324    0.001    0.000    0.001    0.000 {method 'write' of '_io.BufferedRandom' objects}
      419    0.001    0.000    0.001    0.000 xlsx.py:501(do_xf)
      254    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_decode}
      419    0.001    0.000    0.001    0.000 copy.py:268(_reconstruct)
       29    0.001    0.000    0.001    0.000 merge.py:2012(_get_join_keys)
     3048    0.001    0.000    0.003    0.000 timemachine.py:31(<lambda>)
       14    0.001    0.000    0.056    0.004 zipfile.py:1606(write)
      537    0.001    0.000    0.002    0.000 contextlib.py:85(__exit__)
     2559    0.001    0.000    0.001    0.000 numerictypes.py:587(<listcomp>)
      540    0.001    0.000    0.003    0.000 transforms.py:2470(composite_transform_factory)
   428/50    0.001    0.000    0.599    0.012 {built-in method builtins.__import__}
     1258    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:37(_relax_case)
     4037    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      129    0.001    0.000    0.001    0.000 deprecation.py:24(_generate_deprecation_warning)
     2799    0.001    0.000    0.001    0.000 sre_parse.py:248(match)
      499    0.001    0.000    0.001    0.000 managers.py:128(<listcomp>)
      728    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
       29    0.001    0.000    0.018    0.001 backend_agg.py:164(draw_text)
      373    0.001    0.000    0.001    0.000 font_manager.py:1081(<listcomp>)
      435    0.001    0.000    0.002    0.000 font_manager.py:883(_json_decode)
      289    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.affine_transform}
      781    0.001    0.000    0.001    0.000 {method 'fill' of 'numpy.ndarray' objects}
     3568    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
      506    0.001    0.000    0.007    0.000 common.py:1180(needs_i8_conversion)
       93    0.001    0.000    0.008    0.000 generic.py:1517(_get_label_or_level_values)
      790    0.001    0.000    0.001    0.000 common.py:348(is_datetime64_dtype)
      200    0.001    0.000    0.001    0.000 ntpath.py:75(join)
     1465    0.001    0.000    0.001    0.000 sre_parse.py:285(tell)
      786    0.001    0.000    0.001    0.000 _weakrefset.py:26(__exit__)
     1124    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
       20    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
      449    0.001    0.000    0.001    0.000 artist.py:1301(_replace_path)
      469    0.001    0.000    0.001    0.000 _asarray.py:300(<setcomp>)
  328/296    0.001    0.000    0.008    0.000 typing.py:805(_subs_tree)
      111    0.001    0.000    0.025    0.000 array_ops.py:118(na_arithmetic_op)
       64    0.000    0.000    0.018    0.000 generic.py:4205(reindex)
      167    0.000    0.000    0.001    0.000 base.py:1032(__iter__)
      156    0.000    0.000    0.001    0.000 generic.py:1474(_check_label_or_level_ambiguity)
       97    0.000    0.000    0.001    0.000 font_manager.py:1338(get_font)
      808    0.000    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      114    0.000    0.000    0.003    0.000 deprecation.py:183(deprecate)
      162    0.000    0.000    0.004    0.000 markers.py:292(set_marker)
      207    0.000    0.000    0.006    0.000 transforms.py:1377(transform)
      660    0.000    0.000    0.002    0.000 artist.py:170(convert_xunits)
      258    0.000    0.000    0.003    0.000 sre_compile.py:223(_compile_charset)
      842    0.000    0.000    0.000    0.000 functools.py:74(wraps)
       29    0.000    0.000    0.000    0.000 base.py:1572(is_monotonic_increasing)
       26    0.000    0.000    0.001    0.000 sheet.py:319(__init__)
      377    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
      663    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
     1030    0.000    0.000    0.001    0.000 __init__.py:2180(_check_in_list)
  521/413    0.000    0.000    0.004    0.000 typing.py:1083(_subs_tree)
      818    0.000    0.000    0.001    0.000 _weakrefset.py:81(add)
    908/8    0.000    0.000    0.815    0.102 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       29    0.000    0.000    0.012    0.000 base.py:2613(intersection)
       26    0.000    0.000    0.001    0.000 parsers.py:941(_get_options_with_defaults)
       15    0.000    0.000    0.000    0.000 {built-in method nt.close}
      377    0.000    0.000    0.004    0.000 concat.py:194(dtype)
      273    0.000    0.000    0.003    0.000 function_base.py:460(add_newdoc)
  182/134    0.000    0.000    0.004    0.000 typing.py:875(__extrahook__)
      672    0.000    0.000    0.003    0.000 {method 'all' of 'numpy.ndarray' objects}
       74    0.000    0.000    0.050    0.001 generic.py:3249(take)
      290    0.000    0.000    0.020    0.000 _decorators.py:462(__call__)
       56    0.000    0.000    0.026    0.000 indexing.py:1208(_get_listlike_indexer)
     2648    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       29    0.000    0.000    0.115    0.004 merge.py:664(get_result)
      246    0.000    0.000    0.001    0.000 indexing.py:2128(convert_to_index_sliceable)
       10    0.000    0.000    0.075    0.008 jst_lib.py:216(income_per_capita)
     1249    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
  163/162    0.000    0.000    0.002    0.000 transforms.py:1691(__eq__)
     1056    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      174    0.000    0.000    0.002    0.000 base.py:697(take)
      709    0.000    0.000    0.002    0.000 units.py:122(is_numlike)
       74    0.000    0.000    0.003    0.000 concat.py:29(get_dtype_kinds)
       10    0.000    0.000    0.001    0.000 enum.py:124(__new__)
     1125    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      102    0.000    0.000    0.013    0.000 generic.py:5384(astype)
      496    0.000    0.000    0.001    0.000 sre_compile.py:388(_simple)
       10    0.000    0.000    0.001    0.000 sorting.py:24(get_group_index)
      408    0.000    0.000    0.001    0.000 artist.py:1326(aliased_name)
      111    0.000    0.000    0.003    0.000 expressions.py:71(_can_use_numexpr)
      126    0.000    0.000    0.002    0.000 algorithms.py:69(_ensure_data)
       54    0.000    0.000    0.002    0.000 __init__.py:891(_open_file_or_url)
     2994    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      424    0.000    0.000    0.003    0.000 _ufunc_config.py:441(__enter__)
      963    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       26    0.000    0.000    0.001    0.000 parsers.py:995(_clean_options)
      424    0.000    0.000    0.002    0.000 _ufunc_config.py:446(__exit__)
       95    0.000    0.000    0.001    0.000 backend_bases.py:718(__init__)
       94    0.000    0.000    0.014    0.000 base.py:3285(reindex)
     1755    0.000    0.000    0.001    0.000 sre_parse.py:159(__len__)
       63    0.000    0.000    0.003    0.000 frame.py:4766(_maybe_casted_values)
       41    0.000    0.000    0.019    0.000 patches.py:563(draw)
     2064    0.000    0.000    0.001    0.000 typing.py:651(<genexpr>)
  280/279    0.000    0.000    0.001    0.000 transforms.py:1776(transform_affine)
      216    0.000    0.000    0.002    0.000 function_base.py:4640(append)
       52    0.000    0.000    0.002    0.000 cast.py:892(astype_nansafe)
       53    0.000    0.000    0.026    0.000 text.py:852(get_window_extent)
      134    0.000    0.000    0.000    0.000 _decorators.py:421(__call__)
     1565    0.000    0.000    0.001    0.000 inspect.py:159(isfunction)
       36    0.000    0.000    0.005    0.000 patches.py:685(__init__)
      684    0.000    0.000    0.001    0.000 biffh.py:239(upkbits)
      651    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      124    0.000    0.000    0.060    0.000 indexing.py:864(__getitem__)
      694    0.000    0.000    0.001    0.000 concat.py:489(<genexpr>)
       78    0.000    0.000    0.007    0.000 array_ops.py:159(arithmetic_op)
       74    0.000    0.000    0.006    0.000 concat.py:110(concat_compat)
    74/73    0.000    0.000    0.002    0.000 transforms.py:1025(get_points)
      107    0.000    0.000    0.001    0.000 artist.py:1043(update_from)
     3031    0.000    0.000    0.000    0.000 typing.py:1096(__hash__)
        1    0.000    0.000    0.000    0.000 textpath.py:388(TextPath)
      373    0.000    0.000    0.002    0.000 font_manager.py:1137(score_weight)
       63    0.000    0.000    0.011    0.000 algorithms.py:1961(safe_sort)
      231    0.000    0.000    0.003    0.000 zipfile.py:965(_read2)
     4333    0.000    0.000    0.000    0.000 inspect.py:2502(name)
       99    0.000    0.000    0.001    0.000 lines.py:1146(set_linestyle)
      887    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_16_le_decode}
      279    0.000    0.000    0.002    0.000 artist.py:946(_update_property)
      709    0.000    0.000    0.003    0.000 axis.py:1539(convert_units)
      839    0.000    0.000    0.000    0.000 fromnumeric.py:74(<dictcomp>)
       56    0.000    0.000    0.001    0.000 indexing.py:1257(_validate_read_indexer)
       70    0.000    0.000    0.000    0.000 ElementTree.py:1628(close)
       76    0.000    0.000    0.003    0.000 text.py:121(__init__)
      138    0.000    0.000    0.004    0.000 transforms.py:1976(scale)
      424    0.000    0.000    0.000    0.000 _ufunc_config.py:437(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method nt.unlink}
       51    0.000    0.000    0.001    0.000 transforms.py:671(translated)
      307    0.000    0.000    0.799    0.003 ElementTree.py:1621(feed)
       21    0.000    0.000    0.001    0.000 arraysetops.py:484(in1d)
       65    0.000    0.000    0.001    0.000 ntpath.py:472(normpath)
       21    0.000    0.000    0.003    0.000 base.py:2690(difference)
      688    0.000    0.000    0.002    0.000 artist.py:182(convert_yunits)
       29    0.000    0.000    0.014    0.000 merge.py:860(_get_join_indexers)
       38    0.000    0.000    0.010    0.000 base.py:5251(drop)
      249    0.000    0.000    0.003    0.000 transforms.py:788(from_extents)
       52    0.000    0.000    0.001    0.000 parsers.py:1627(_maybe_dedup_names)
      130    0.000    0.000    0.010    0.000 _decorators.py:352(decorator)
      210    0.000    0.000    0.004    0.000 patches.py:747(_convert_units)
      149    0.000    0.000    0.001    0.000 numeric.py:283(full)
       54    0.000    0.000    0.016    0.000 generic.py:4493(_reindex_with_indexers)
       29    0.000    0.000    0.014    0.000 merge.py:1301(_get_join_indexers)
      786    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
      601    0.000    0.000    0.005    0.000 common.py:595(condition)
       40    0.000    0.000    0.000    0.000 multi.py:1311(_get_names)
        2    0.000    0.000    0.069    0.035 backend_qt5agg.py:23(paintEvent)
        1    0.000    0.000    0.013    0.013 book.py:1197(parse_globals)
      728    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
     2865    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      120    0.000    0.000    0.000    0.000 font_manager.py:776(set_weight)
      537    0.000    0.000    0.001    0.000 contextlib.py:157(helper)
       63    0.000    0.000    0.002    0.000 grouper.py:414(__init__)
      278    0.000    0.000    0.000    0.000 sre_parse.py:342(_escape)
       60    0.000    0.000    0.000    0.000 stride_tricks.py:185(_broadcast_shape)
        6    0.000    0.000    0.008    0.001 ticker.py:2019(_raw_ticks)
      254    0.000    0.000    0.001    0.000 base.py:4711(_maybe_promote)
      243    0.000    0.000    0.001    0.000 managers.py:656(<listcomp>)
       74    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
       16    0.000    0.000    0.023    0.001 indexing.py:738(_getitem_tuple_same_dim)
      419    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      459    0.000    0.000    0.002    0.000 artist.py:49(_stale_axes_callback)
       56    0.000    0.000    0.001    0.000 config.py:414(register_option)
      433    0.000    0.000    0.001    0.000 ntpath.py:67(isabs)
     1043    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_int64}
       29    0.000    0.000    0.006    0.000 merge.py:775(_maybe_add_join_keys)
     2744    0.000    0.000    0.000    0.000 artist.py:194(axes)
        5    0.000    0.000    0.000    0.000 {pandas._libs.join.full_outer_join}
      582    0.000    0.000    0.001    0.000 font_manager.py:1233(<genexpr>)
     1068    0.000    0.000    0.004    0.000 common.py:603(<genexpr>)
      347    0.000    0.000    0.027    0.000 concat.py:317(<listcomp>)
       26    0.000    0.000    0.074    0.003 parsers.py:3175(_rows_to_cols)
      158    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
      410    0.000    0.000    0.003    0.000 pyparsing.py:1417(copy)
       20    0.000    0.000    0.122    0.006 jst_lib.py:97(merge_one_col)
       92    0.000    0.000    0.000    0.000 managers.py:1888(<listcomp>)
      543    0.000    0.000    0.000    0.000 base.py:516(is_)
      318    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(copyto)
       41    0.000    0.000    0.005    0.000 patches.py:42(__init__)
       14    0.000    0.000    0.052    0.004 shutil.py:76(copyfileobj)
       70    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
       68    0.000    0.000    0.019    0.000 backend_agg.py:193(get_text_width_height_descent)
      686    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       29    0.000    0.000    0.015    0.001 merge.py:576(__init__)
  629/433    0.000    0.000    0.000    0.000 transforms.py:2357(<lambda>)
       20    0.000    0.000    0.000    0.000 generic.py:6(create_pandas_abc_type)
        1    0.000    0.000    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
       90    0.000    0.000    0.001    0.000 text.py:823(get_prop_tup)
      202    0.000    0.000    0.015    0.000 sre_compile.py:542(_code)
     1698    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
      540    0.000    0.000    0.003    0.000 transforms.py:1236(__add__)
      539    0.000    0.000    0.002    0.000 typing.py:342(_type_vars)
       26    0.000    0.000    0.000    0.000 sheet.py:576(tidy_dimensions)
      254    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
      348    0.000    0.000    0.002    0.000 managers.py:146(from_blocks)
       50    0.000    0.000    0.048    0.001 indexing.py:1078(_getitem_axis)
       26    0.000    0.000    0.000    0.000 parsers.py:1402(__init__)
      896    0.000    0.000    0.000    0.000 typing.py:1019(_abc_negative_cache)
      322    0.000    0.000    0.019    0.000 typing.py:133(__new__)
      726    0.000    0.000    0.001    0.000 managers.py:313(<genexpr>)
       33    0.000    0.000    0.002    0.000 managers.py:710(_combine)
       15    0.000    0.000    0.018    0.001 concat.py:295(__init__)
      186    0.000    0.000    0.001    0.000 inference.py:263(is_dict_like)
        2    0.000    0.000    0.024    0.012 _axes.py:2188(bar)
       31    0.000    0.000    0.011    0.000 _collections_abc.py:824(update)
      324    0.000    0.000    0.003    0.000 markers.py:245(_recache)
       86    0.000    0.000    0.000    0.000 docstring.py:38(__call__)
      370    0.000    0.000    0.000    0.000 xlsx.py:86(cell_name_to_rowx_colx)
       97    0.000    0.000    0.011    0.000 backend_agg.py:241(_get_agg_font)
       26    0.000    0.000    0.025    0.001 parsers.py:846(__init__)
      119    0.000    0.000    0.001    0.000 path.py:96(__init__)
       92    0.000    0.000    0.003    0.000 expressions.py:61(_evaluate_standard)
      663    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       55    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
       64    0.000    0.000    0.002    0.000 transforms.py:508(transformed)
      363    0.000    0.000    0.000    0.000 typing.py:168(__new__)
      769    0.000    0.000    0.000    0.000 concat.py:472(<genexpr>)
      206    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
      252    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
      121    0.000    0.000    0.001    0.000 generic.py:1421(_is_label_reference)
       44    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedRandom' objects}
       64    0.000    0.000    0.065    0.001 blocks.py:340(apply)
       97    0.000    0.000    0.000    0.000 backend_agg.py:49(get_hinting_flag)
      267    0.000    0.000    0.005    0.000 common.py:598(is_excluded_dtype)
      562    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
       33    0.000    0.000    0.009    0.000 groupby.py:483(__init__)
      713    0.000    0.000    0.000    0.000 base.py:3890(_get_engine_target)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:554(__init__)
       63    0.000    0.000    0.031    0.000 grouper.py:582(_make_codes)
        1    0.000    0.000    0.002    0.002 pyplot.py:2031(_setup_pyplot_info_docstrings)
      642    0.000    0.000    0.004    0.000 managers.py:1861(<lambda>)
      166    0.000    0.000    0.003    0.000 fromnumeric.py:2843(prod)
      146    0.000    0.000    0.005    0.000 transforms.py:1950(rotate_deg_around)
      625    0.000    0.000    0.000    0.000 typing.py:1033(_abc_negative_cache_version)
      111    0.000    0.000    0.018    0.000 expressions.py:97(_evaluate_numexpr)
     1090    0.000    0.000    0.000    0.000 typing.py:971(<genexpr>)
       78    0.000    0.000    0.019    0.000 __init__.py:335(wrapper)
      134    0.000    0.000    0.000    0.000 zipfile.py:343(__init__)
     2980    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       10    0.000    0.000    0.000    0.000 {method 'get_labels_groupby' of 'pandas._libs.hashtable.Int64HashTable' objects}
       63    0.000    0.000    0.007    0.000 algorithms.py:463(_factorize_array)
       60    0.000    0.000    0.001    0.000 shape_base.py:612(column_stack)
      228    0.000    0.000    0.000    0.000 biffh.py:243(upkbitsL)
      102    0.000    0.000    0.003    0.000 base.py:5642(default_index)
       78    0.000    0.000    0.000    0.000 parsers.py:2919(_next_line)
       36    0.000    0.000    0.400    0.011 __init__.py:1(<module>)
       40    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
       38    0.000    0.000    0.026    0.001 generic.py:3885(_drop_axis)
       48    0.000    0.000    0.002    0.000 array_ops.py:292(logical_op)
       97    0.000    0.000    0.000    0.000 {method 'clear' of 'matplotlib.ft2font.FT2Font' objects}
      265    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(min_scalar_type)
     2243    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      179    0.000    0.000    0.000    0.000 font_manager.py:812(set_size)
       33    0.000    0.000    0.010    0.000 frame.py:6390(groupby)
